nom_video,type,duree,date_ajout,nom_chaine,nombre_vue
Stone Cold ,chanson,03:31,2016,Demi Lovato,"191,111,867"
"thank u, next ",chanson,04:24,2018,Ariana Grande,"39,265,550"
Tears of Gold ,chanson,02:55,2019,Faouzia,"15 ,836 ,853"
Off the Wall,chanson,04:07,2020,Michael Jachson,1.734.898
Rock With You,chanson,03:22,2009,Michael Jachson,217.234.678
Billie Jean,chanson,04:55,2009,Michael Jachson,899.334.456
They Don’t Care About Us,chanson,04:41,2009,Michael Jachson,756.497.509
Off The Wall ,chanson,03:45,2017,Michael Jachson,567.999
Harder to Breathe,chanson,02:17,2009,Maroon 5,"41,000,000"
This love,chanson,03:21,2009,Maroon 5,"208,000,000"
Shiver ,chanson,03:08,2009,Maroon 5,"425,000"
She Will Be Loved ,chanson,03:08,2009,Maroon 5,"575,000,000"
Tangled ,chanson,02:44,2009,Maroon 5,"438,000"
The Sun ,chanson,03:22,2009,Maroon 5,"4,356,686"
Must Get Out ,chanson,03:17,2009,Maroon 5,"2,100,000"
Sunday Morning ,chanson,04:12,2009,Maroon 5,"173,000,000"
Secret ,chanson,04:09,2009,Maroon 5,"8,900,000"
Through with You ,chanson,03:20,2009,Maroon 5,"301,000"
Not Coming Home ,chanson,03:51,2009,Maroon 5,"312,000"
Sweetest Goodbye ,chanson,03:30,2009,Maroon 5,"1,800,000"
Curtains Up,chanson,00:47,2018,EminemMusic,"802,809"
Evil Deeds,chanson,04:20,2019,EminemMusic,"172,361"
Never Enough,chanson,02:39,2010,EminemMusic,"1,246,312"
Yellow Brick Road,chanson,05:46,2018,EminemMusic,"1,460,004"
Like Toy Soldiers,chanson,04:57,2009,EminemMusic,"385,566,433"
Mosh,chanson,05:18,2008,EminemMusic,"1,700,000"
Puke,chanson,04:08,2010,EminemMusic,"197,000"
My 1st Single,chanson,05:03,2018,EminemMusic,"673,000"
Paul,chanson,00:32,2016,EminemMusic,"156,000"
Rain Man,chanson,05:14,2008,EminemMusic,"7,000,000"
Big Weenie,chanson,04:27,2019,EminemMusic,"324,760"
Em Calls Paul,chanson,01:12,2019,EminemMusic,"10,502"
Just Lose It,chanson,04:09,2009,EminemMusic,"257,000,000"
Ass Like That,chanson,04:26,2009,EminemMusic,"118,000,000"
Spend Some Time,chanson,05:11,2008,EminemMusic,"77,000"
Mockingbird,chanson,04:11,2009,EminemMusic,"512,000,000"
Crazy in Love,chanson,04:02,2008,EminemMusic,"90,000"
One Shot 2 Shot,chanson,04:27,2018,EminemMusic,"3,800,000"
Final Thought,chanson,00:30,2018,EminemMusic,"199,235"
Encore/Curtains Down,chanson,05:48,2018,EminemMusic,"802,819"
Hola Señorita,chanson,03:33,2019,Maluma,366.987.777
Luna,chanson,03:45,2020,soolking officiel,16.234.678
Pa' Ti + Lonely,chanson,08:56,2020,jennifer lopez,49.234.567
Gambetta,chanson,03:48,2018,Mister You Officiel,54 818 174
Partir loin,chanson,04:07,2009,113Officiel,44 198 650
What's My Name?,chanson,04:25,2010,Rihanna,838 562 669
Rihanna - California King Bed,chanson,04:43,2011,Rihanna,286 347 685
C'est La Vie,chanson,03:56,2012,Khaled,244 252 811
Hiya Hiya,chanson,03:18,2012,Îlyäs Hl' Boykà,54 488 045
Ça fait des années,chanson,04:06,2020,Soolking Officiel,91 403 128 
Meleğim,chanson,04:02,2020,Soolking Officiel,184 944 397
Wahda,chanson,02:48,2020,Soolking Officiel,18 835 547
La Kichta,chanson,02:59,2020,Soolking Officiel,18 259 497
Liberté,chanson,04:50,2019,Soolking Officiel,242 196 080
Stan,chanson,08:09,2010,EminemMusic,349 416 658
The Way I Am,chanson,05:02,2009,EminemMusic,162 413 240
Wahda ,chanson,04:28,2010,EminemMusic,477 097 753
Lose Yourself,chanson,05:24,2015,msvogue23,973 709 782
Despacito ,chanson,04:24,2017,Luis Fonsi,7 063 701 208
Bambino,chanson,03:35,2010,Dalida,8 321 543
Parle Plus Bas,chanson,04:43,2007,Dalida,3 342 754
Mama,chanson,02:23,2024,Dalida,5 242 342
Comment Faire Pour Oublier,chanson,03:21,2018,Dalida,3 523 133
50 Shades Of Black,chanson,04:43,2015,Kovacs,"802,809"
The Devil You Know,chanson,03:56,2015,Kovacs,"172,361"
My Love,chanson,03:18,2015,Kovacs,"1,246,312"
Diggin',chanson,04:06,2015,Kovacs,"1,460,004"
Fool Like You,chanson,04:02,2015,Kovacs,"802,809"
i want it that way,chanson,03:39,2009,Backstreet Boys,847 167 538
Larger than life,chanson,05:18,2012,Backstreet Boys,73 991 874
show me the meaning of being lonely,chanson,04:21,2011,Backstreet Boys,190 854 299
the one,chanson,03:58,2011,Backstreet Boys,27 514 393
please forgive me,chanson,06:17,2008,Bryan Adams,442 517 833
look what you made me do,chanson,04:16,2017,Taylor Swift,40300000
End game,chanson,04:10,2018,Taylor Swift,237 591 651
gorgeous,chanson,03:31,2017,Taylor Swift,115 376 822
delicate,chanson,03:54,2018,Taylor Swift,427 720 480
call it what you want,chanson,03:26,2017,Taylor Swift,71 145 973
Hello,chanson,04:06,2018,lionelrichie,3 554 500